,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
227,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,plant
228,Cyprus,0,0,0,0,0,0,7,5,11,23,0,10,230,11,274,plant
229,Georgia,0,0,0,0,0,0,9,17,39,65,0,13,319,27,424,plant
230,"Iran, Islamic Republic of",0,0,0,0,0,0,2,7,4,13,0,12,420,30,475,plant
231,Iraq,0,0,0,0,0,0,0,3,1,4,0,6,252,16,278,plant
232,Israel,0,0,0,0,0,0,3,23,13,39,0,9,282,9,339,plant
233,Jordan,0,0,0,0,0,0,0,5,3,8,0,4,191,7,210,plant
234,Kazakhstan,0,0,0,0,0,0,5,5,3,13,0,2,304,26,345,plant
235,Kuwait,0,0,0,0,0,0,0,0,0,0,0,1,29,0,30,plant
236,Kyrgyzstan,0,0,0,0,0,0,6,4,2,12,0,2,187,21,222,plant
237,Lebanon,0,0,0,5,0,5,17,61,22,100,0,11,315,19,445,plant
238,Oman,0,0,0,0,0,0,0,1,5,6,0,5,154,1,166,plant
239,Pakistan,0,0,0,0,0,0,4,6,7,17,0,7,480,20,524,plant
240,"Palestine, State of",0,0,0,0,0,0,1,6,4,11,0,6,224,5,246,plant
241,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,plant
242,Saudi Arabia,0,0,0,0,0,0,0,3,1,4,0,0,259,0,263,plant
243,Syrian Arab Republic,0,0,0,0,0,0,5,25,14,44,0,14,307,28,393,plant
244,Tajikistan,0,0,0,0,0,0,6,3,2,11,0,2,190,19,222,plant
245,Turkey,0,0,0,0,0,0,67,42,23,132,0,31,651,71,885,plant
246,Turkmenistan,0,0,0,0,0,0,0,2,2,4,0,3,180,11,198,plant
247,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,plant
248,Uzbekistan,0,0,0,0,0,0,4,7,3,14,0,1,198,16,229,plant
249,Yemen,3,0,3,0,0,3,6,28,129,163,0,23,426,32,647,plant
0,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
1,Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
2,French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
